,IoCType,InfoSource,IoCCategory,IoCValue
367,IP,F-ISAC,Malware,8.210.125.63
368,IP,F-ISAC,Malware,39.105.125.200
369,IP,F-ISAC,Malware,176.113.115.202
370,IP,F-ISAC,Malware,119.91.252.109
371,IP,F-ISAC,Malware,128.199.223.60
372,IP,F-ISAC,Malware,82.156.239.219
373,IP,F-ISAC,Malware,94.103.9.73
374,IP,F-ISAC,Malware,175.24.61.228
375,IP,F-ISAC,Malware,110.42.224.26
376,IP,F-ISAC,Malware,47.107.81.243
377,IP,F-ISAC,Malware,54.203.235.97
378,IP,F-ISAC,Malware,121.41.30.246
379,IP,F-ISAC,Malware,176.121.14.161
380,IP,F-ISAC,Malware,47.100.197.150
381,IP,F-ISAC,Malware,139.177.203.110
382,IP,F-ISAC,Malware,78.128.112.217
383,IP,F-ISAC,Malware,165.232.151.201
384,IP,F-ISAC,Malware,103.30.43.90
385,IP,F-ISAC,Malware,50.116.48.202
386,IP,F-ISAC,Malware,36.159.0.38
387,IP,F-ISAC,Malware,42.192.206.174
388,IP,F-ISAC,Malware,157.230.176.13
389,IP,F-ISAC,Malware,31.44.184.82
390,IP,F-ISAC,Malware,115.29.171.175
391,IP,F-ISAC,Malware,139.60.161.99
392,IP,F-ISAC,Malware,47.94.20.209
393,IP,F-ISAC,Malware,154.202.59.95
394,IP,F-ISAC,Malware,31.44.184.84
395,IP,F-ISAC,Malware,43.132.192.214
396,IP,F-ISAC,Malware,1.15.179.81
397,IP,F-ISAC,Malware,31.44.184.129
398,IP,F-ISAC,Malware,47.94.175.146
399,IP,F-ISAC,Malware,110.42.135.208
400,IP,F-ISAC,Malware,39.98.157.4
401,IP,F-ISAC,Malware,185.7.214.215
402,IP,F-ISAC,Malware,47.94.102.188
403,IP,F-ISAC,Malware,35.177.241.118
404,IP,F-ISAC,Malware,152.32.227.245
405,IP,F-ISAC,Malware,122.51.16.84
406,IP,F-ISAC,Malware,120.79.4.215
407,IP,F-ISAC,Malware,23.224.152.140
408,IP,F-ISAC,Malware,1.14.131.141
409,IP,F-ISAC,Malware,35.226.17.150
410,IP,F-ISAC,Malware,120.25.168.65
411,IP,F-ISAC,Malware,143.110.155.233
412,IP,F-ISAC,Malware,198.52.107.210
413,IP,F-ISAC,Malware,62.234.130.153
414,IP,F-ISAC,Malware,42.193.105.60
415,IP,F-ISAC,Malware,35.223.3.184
416,IP,F-ISAC,Malware,198.55.123.148
417,IP,F-ISAC,Malware,1.15.21.153
418,IP,F-ISAC,Malware,121.37.255.60
419,IP,F-ISAC,Malware,47.102.117.86
420,IP,F-ISAC,Malware,121.37.1.120
421,IP,F-ISAC,Malware,146.0.72.87
422,IP,F-ISAC,Malware,69.49.235.167
423,IP,F-ISAC,Malware,110.42.230.216
424,IP,F-ISAC,Malware,101.33.33.77
425,IP,F-ISAC,Malware,106.13.95.3
426,IP,F-ISAC,Malware,47.243.236.33
427,IP,F-ISAC,Malware,180.76.96.202
428,IP,F-ISAC,Malware,141.105.66.36
429,IP,F-ISAC,Malware,193.56.255.245
430,IP,F-ISAC,Malware,119.91.76.49
431,IP,F-ISAC,Malware,44.198.164.69
432,IP,F-ISAC,Malware,106.52.131.175
433,IP,F-ISAC,Malware,79.141.169.220
434,IP,F-ISAC,Malware,101.33.245.37
435,IP,F-ISAC,Malware,149.28.42.139
436,IP,F-ISAC,Malware,1.117.59.141
437,IP,F-ISAC,Malware,121.40.151.27
438,IP,F-ISAC,Malware,92.255.85.93
439,IP,F-ISAC,Malware,47.243.79.171
440,IP,F-ISAC,Malware,101.35.121.22
441,IP,F-ISAC,Malware,1.15.20.229
442,IP,F-ISAC,Malware,123.207.99.2
443,IP,F-ISAC,Malware,216.244.77.16
444,IP,F-ISAC,Malware,150.158.23.116
445,IP,F-ISAC,Malware,120.24.63.15
446,IP,F-ISAC,Malware,116.62.144.162
447,IP,F-ISAC,Malware,143.198.133.41
448,IP,F-ISAC,Malware,119.29.41.114
449,IP,F-ISAC,Malware,81.68.141.85
450,IP,F-ISAC,Malware,47.95.207.79
451,IP,F-ISAC,Malware,45.145.6.5
452,IP,F-ISAC,Malware,94.103.9.79
453,IP,F-ISAC,Malware,193.9.114.11
454,IP,F-ISAC,Malware,192.227.155.185
455,IP,F-ISAC,Malware,47.111.144.178
456,IP,F-ISAC,Malware,121.40.30.88
457,IP,F-ISAC,Malware,31.44.184.100
458,IP,F-ISAC,Malware,45.129.2.244
459,IP,F-ISAC,Malware,107.173.89.148
460,IP,F-ISAC,Malware,78.128.113.14
461,IP,F-ISAC,Malware,49.235.206.130
462,IP,F-ISAC,Malware,123.58.211.116
463,IP,F-ISAC,Malware,47.244.24.135
464,IP,F-ISAC,Malware,198.58.114.76
465,IP,F-ISAC,Malware,49.232.110.30
466,IP,F-ISAC,Malware,120.55.189.211
467,IP,F-ISAC,Malware,124.156.213.48
468,IP,F-ISAC,Malware,188.166.148.225
469,IP,F-ISAC,Malware,103.75.190.50
470,IP,F-ISAC,Malware,82.156.188.87
471,IP,F-ISAC,Malware,120.25.201.123
472,IP,F-ISAC,Malware,106.52.65.141
473,IP,F-ISAC,Malware,110.42.172.37
474,IP,F-ISAC,Malware,64.225.25.110
475,IP,F-ISAC,Malware,198.55.102.254
476,IP,F-ISAC,Malware,1.117.228.225
477,IP,F-ISAC,Malware,46.161.27.151
478,IP,F-ISAC,Malware,139.198.169.190
479,IP,F-ISAC,Malware,150.158.153.198
480,IP,F-ISAC,Malware,195.133.52.232
481,IP,F-ISAC,Malware,179.60.150.29
482,IP,F-ISAC,Malware,31.44.184.74
483,IP,F-ISAC,Malware,128.14.226.105
484,IP,F-ISAC,Malware,114.132.246.102
485,IP,F-ISAC,Malware,213.170.133.133
486,IP,F-ISAC,Malware,8.142.168.30
487,IP,F-ISAC,Malware,94.103.9.118
488,IP,F-ISAC,Malware,139.198.183.44
489,IP,F-ISAC,Malware,179.60.150.25
490,IP,F-ISAC,Malware,101.34.56.173
491,IP,F-ISAC,Malware,8.136.21.30
492,IP,F-ISAC,Malware,103.117.100.39
493,IP,F-ISAC,Malware,106.55.51.55
494,IP,F-ISAC,Malware,47.100.206.61
495,IP,F-ISAC,Malware,107.148.130.155
496,IP,F-ISAC,Malware,101.32.116.227
497,IP,F-ISAC,Malware,154.83.12.160
